Title,Artist,Rank,Weeks,PeakPos,Date
Call On Me,Starley,83,18,65,2017-05-06
Moves,Big Sean,84,19,38,2017-05-06
Fast,Luke Bryan,85,13,58,2017-05-06
First Day Out,Tee Grizzley,86,20,48,2017-05-06
Black SpiderMan,Logic Featuring Damian Lemar Hudson,87,1,87,2017-05-06
Selfish,Future Featuring Rihanna,88,10,37,2017-05-06
Deja Vu,J. Cole,89,20,7,2017-05-06
Everyday We Lit,YFN Lucci Featuring PnB Rock,90,20,33,2017-05-06
Scared To Be Lonely,Martin Garrix & Dua Lipa,91,14,76,2017-05-06
Gyalchester,Drake,92,11,29,2017-05-06
Broken Halos,Chris Stapleton,93,1,93,2017-05-06
Weak,AJR,94,11,73,2017-05-06
How Not To,Dan + Shay,95,14,57,2017-05-06
Good Drank,2 Chainz x Gucci Mane x Quavo,96,16,70,2017-05-06
You Look Good,Lady Antebellum,97,20,59,2017-05-06
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,98,8,60,2017-05-06
The Night We Met,Lord Huron,99,4,84,2017-05-06
Craving You,Thomas Rhett Featuring Maren Morris,100,20,39,2017-05-06
Shape Of You,Ed Sheeran,1,42,1,2017-04-29
That's What I Like,Bruno Mars,2,41,1,2017-04-29
Humble.,Kendrick Lamar,3,30,1,2017-04-29
Sign Of The Times,Harry Styles,4,13,4,2017-04-29
Something Just Like This,The Chainsmokers & Coldplay,5,36,3,2017-04-29
iSpy,KYLE Featuring Lil Yachty,6,30,4,2017-04-29
Mask Off,Future,7,31,5,2017-04-29
XO TOUR Llif3,Lil Uzi Vert,8,31,7,2017-04-29
Body Like A Back Road,Sam Hunt,9,39,6,2017-04-29
Paris,The Chainsmokers,10,20,6,2017-04-29
It Ain't Me,Kygo x Selena Gomez,11,29,10,2017-04-29
Issues,Julia Michaels,12,29,11,2017-04-29
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,13,27,9,2017-04-29
Stay,Zedd & Alessia Cara,14,31,7,2017-04-29
Tunnel Vision,Kodak Black,15,20,6,2017-04-29
Say You Won't Let Go,James Arthur,16,52,11,2017-04-29
I Feel It Coming,The Weeknd Featuring Daft Punk,17,26,4,2017-04-29
Bad And Boujee,Migos Featuring Lil Uzi Vert,18,36,1,2017-04-29
Congratulations,Post Malone Featuring Quavo,19,44,8,2017-04-29
Location,Khalid,20,42,16,2017-04-29
Cold,Maroon 5 Featuring Future,21,20,16,2017-04-29
Passionfruit,Drake,22,20,8,2017-04-29
Closer,The Chainsmokers Featuring Halsey,23,52,1,2017-04-29
Love On The Brain,Rihanna,24,31,5,2017-04-29
Bounce Back,Big Sean,25,28,6,2017-04-29
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,26,23,2,2017-04-29
Chained To The Rhythm,Katy Perry Featuring Skip Marley,27,15,4,2017-04-29
T-Shirt,Migos,28,25,19,2017-04-29
Swang,Rae Sremmurd,29,26,26,2017-04-29
24K Magic,Bruno Mars,30,41,4,2017-04-29
Scars To Your Beautiful,Alessia Cara,31,43,8,2017-04-29
Rolex,Ayo & Teo,32,25,20,2017-04-29
Can't Stop The Feeling!,Justin Timberlake,33,52,1,2017-04-29
Mercy,Shawn Mendes,34,32,15,2017-04-29
Down,Marian Hill,35,17,21,2017-04-29
Slide,Calvin Harris Featuring Frank Ocean & Migos,36,20,25,2017-04-29
Look At Me!,XXXTentacion,37,20,34,2017-04-29
Fake Love,Drake,38,25,8,2017-04-29
Starboy,The Weeknd Featuring Daft Punk,39,30,1,2017-04-29
In Case You Didn't Know,Brett Young,40,28,19,2017-04-29
Portland,Drake Featuring Quavo & Travis Scott,41,16,9,2017-04-29
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,42,20,29,2017-04-29
Goosebumps,Travis Scott,43,34,32,2017-04-29
Both,Gucci Mane Featuring Drake,44,22,41,2017-04-29
Dirt On My Boots,Jon Pardi,45,20,37,2017-04-29
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,46,27,6,2017-04-29
Believer,Imagine Dragons,47,38,4,2017-04-29
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,48,41,1,2017-04-29
Redbone,Childish Gambino,49,44,12,2017-04-29
Now Or Never,Halsey,50,20,17,2017-04-29
Hurricane,Luke Combs,51,22,31,2017-04-29
Any Ol' Barstool,Jason Aldean,52,18,52,2017-04-29
The Fighter,Keith Urban Featuring Carrie Underwood,53,23,38,2017-04-29
Green Light,Lorde,54,9,19,2017-04-29
Party,Chris Brown Featuring Usher & Gucci Mane,55,20,40,2017-04-29
Hometown Girl,Josh Turner,56,16,56,2017-04-29
Castle On The Hill,Ed Sheeran,57,33,6,2017-04-29
Heavy,Linkin Park Featuring Kiiara,58,19,45,2017-04-29
Shining,DJ Khaled Featuring Beyonce & JAY Z,59,14,57,2017-04-29
How Far I'll Go,Auli'i Cravalho,60,20,41,2017-04-29
Black,Dierks Bentley,61,19,56,2017-04-29
Gyalchester,Drake,62,11,29,2017-04-29
Losin Control,Russ,63,19,62,2017-04-29
The Weekend,Brantley Gilbert,64,20,64,2017-04-29
Call On Me,Starley,65,18,65,2017-04-29
Fast,Luke Bryan,66,13,58,2017-04-29
Moves,Big Sean,67,19,38,2017-04-29
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,68,19,46,2017-04-29
Selfish,Future Featuring Rihanna,69,10,37,2017-04-29
Play That Song,Train,70,20,41,2017-04-29
Deja Vu,J. Cole,71,20,7,2017-04-29
Free Smoke,Drake,72,4,18,2017-04-29
Yeah Boy,Kelsea Ballerini,73,13,65,2017-04-29
Unforgettable,French Montana Featuring Swae Lee,74,29,3,2017-04-29
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,75,21,38,2017-04-29
First Day Out,Tee Grizzley,76,20,48,2017-04-29
Road Less Traveled,Lauren Alaina,77,12,67,2017-04-29
The One,The Chainsmokers,78,2,78,2017-04-29
Everyday We Lit,YFN Lucci Featuring PnB Rock,79,20,33,2017-04-29
Scared To Be Lonely,Martin Garrix & Dua Lipa,80,14,76,2017-04-29
Craving You,Thomas Rhett Featuring Maren Morris,81,20,39,2017-04-29
Good Drank,2 Chainz x Gucci Mane x Quavo,82,16,70,2017-04-29
Draco,Future,83,8,46,2017-04-29
Blem,Drake,84,4,38,2017-04-29
You Look Good,Lady Antebellum,85,20,59,2017-04-29
How Not To,Dan + Shay,86,14,57,2017-04-29
No Frauds,"Nicki Minaj, Drake & Lil Wayne",87,7,14,2017-04-29
Prblms,6LACK,88,8,72,2017-04-29
Cake,Flo Rida & 99 Percent,89,6,73,2017-04-29
Think A Little Less,Michael Ray,90,16,54,2017-04-29
Teenage Fever,Drake,91,4,35,2017-04-29
Bar At The End Of The World,Kenny Chesney,92,1,92,2017-04-29
You're Welcome,Dwayne Johnson,93,13,65,2017-04-29
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,94,8,60,2017-04-29
Still Got Time,Zayn Featuring PARTYNEXTDOOR,95,3,66,2017-04-29
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",96,9,81,2017-04-29
Weak,AJR,97,11,73,2017-04-29
How Far I'll Go,Alessia Cara,98,19,56,2017-04-29
If I Told You,Darius Rucker,99,11,53,2017-04-29
Flatliner,Cole Swindell,100,18,56,2017-04-29
Shape Of You,Ed Sheeran,1,42,1,2017-04-22
Humble.,Kendrick Lamar,2,30,1,2017-04-22
That's What I Like,Bruno Mars,3,41,1,2017-04-22
iSpy,KYLE Featuring Lil Yachty,4,30,4,2017-04-22
Something Just Like This,The Chainsmokers & Coldplay,5,36,3,2017-04-22
Body Like A Back Road,Sam Hunt,6,39,6,2017-04-22
I Feel It Coming,The Weeknd Featuring Daft Punk,7,26,4,2017-04-22
Tunnel Vision,Kodak Black,8,20,6,2017-04-22
Paris,The Chainsmokers,9,20,6,2017-04-22
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,10,27,9,2017-04-22
Mask Off,Future,11,31,5,2017-04-22
Bad And Boujee,Migos Featuring Lil Uzi Vert,12,36,1,2017-04-22
It Ain't Me,Kygo x Selena Gomez,13,29,10,2017-04-22
Stay,Zedd & Alessia Cara,14,31,7,2017-04-22
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,15,23,2,2017-04-22
XO TOUR Llif3,Lil Uzi Vert,16,31,7,2017-04-22
Say You Won't Let Go,James Arthur,17,52,11,2017-04-22
Love On The Brain,Rihanna,18,31,5,2017-04-22
Chained To The Rhythm,Katy Perry Featuring Skip Marley,19,15,4,2017-04-22
Bounce Back,Big Sean,20,28,6,2017-04-22
Closer,The Chainsmokers Featuring Halsey,21,52,1,2017-04-22
Issues,Julia Michaels,22,29,11,2017-04-22
Passionfruit,Drake,23,20,8,2017-04-22
Location,Khalid,24,42,16,2017-04-22
Congratulations,Post Malone Featuring Quavo,25,44,8,2017-04-22
T-Shirt,Migos,26,25,19,2017-04-22
24K Magic,Bruno Mars,27,41,4,2017-04-22
Cold,Maroon 5 Featuring Future,28,20,16,2017-04-22
Swang,Rae Sremmurd,29,26,26,2017-04-22
Scars To Your Beautiful,Alessia Cara,30,43,8,2017-04-22
Fake Love,Drake,31,25,8,2017-04-22
Can't Stop The Feeling!,Justin Timberlake,32,52,1,2017-04-22
Mercy,Shawn Mendes,33,32,15,2017-04-22
Look At Me!,XXXTentacion,34,20,34,2017-04-22
Down,Marian Hill,35,17,21,2017-04-22
Portland,Drake Featuring Quavo & Travis Scott,36,16,9,2017-04-22
Starboy,The Weeknd Featuring Daft Punk,37,30,1,2017-04-22
The Fighter,Keith Urban Featuring Carrie Underwood,38,23,38,2017-04-22
Rolex,Ayo & Teo,39,25,20,2017-04-22
Slide,Calvin Harris Featuring Frank Ocean & Migos,40,20,25,2017-04-22
Million Reasons,Lady Gaga,41,20,4,2017-04-22
Dirt On My Boots,Jon Pardi,42,20,37,2017-04-22
Goosebumps,Travis Scott,43,34,32,2017-04-22
In Case You Didn't Know,Brett Young,44,28,19,2017-04-22
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,45,27,6,2017-04-22
Both,Gucci Mane Featuring Drake,46,22,41,2017-04-22
Water Under The Bridge,Adele,47,22,26,2017-04-22
Believer,Imagine Dragons,48,38,4,2017-04-22
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,49,41,1,2017-04-22
Bad Things,Machine Gun Kelly x Camila Cabello,50,23,4,2017-04-22
Party,Chris Brown Featuring Usher & Gucci Mane,51,20,40,2017-04-22
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,52,20,29,2017-04-22
Craving You,Thomas Rhett Featuring Maren Morris,53,20,39,2017-04-22
Any Ol' Barstool,Jason Aldean,54,18,52,2017-04-22
Green Light,Lorde,55,9,19,2017-04-22
Redbone,Childish Gambino,56,44,12,2017-04-22
Hurricane,Luke Combs,57,22,31,2017-04-22
Fast,Luke Bryan,58,13,58,2017-04-22
Everybody,Logic,59,2,59,2017-04-22
You Look Good,Lady Antebellum,60,20,59,2017-04-22
Heavy,Linkin Park Featuring Kiiara,61,19,45,2017-04-22
Gyalchester,Drake,62,11,29,2017-04-22
How Far I'll Go,Auli'i Cravalho,63,20,41,2017-04-22
Shining,DJ Khaled Featuring Beyonce & JAY Z,64,14,57,2017-04-22
Hometown Girl,Josh Turner,65,16,56,2017-04-22
Black,Dierks Bentley,66,19,56,2017-04-22
Road Less Traveled,Lauren Alaina,67,12,67,2017-04-22
Free Smoke,Drake,68,4,18,2017-04-22
Castle On The Hill,Ed Sheeran,69,33,6,2017-04-22
Speak To A Girl,Tim McGraw & Faith Hill,70,2,61,2017-04-22
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,71,19,46,2017-04-22
Play That Song,Train,72,20,41,2017-04-22
Deja Vu,J. Cole,73,20,7,2017-04-22
Moves,Big Sean,74,19,38,2017-04-22
Tin Man,Miranda Lambert,75,1,75,2017-04-22
Yeah Boy,Kelsea Ballerini,76,13,65,2017-04-22
Selfish,Future Featuring Rihanna,77,10,37,2017-04-22
Blem,Drake,78,4,38,2017-04-22
Losin Control,Russ,79,19,62,2017-04-22
The Weekend,Brantley Gilbert,80,20,64,2017-04-22
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",81,9,81,2017-04-22
Call On Me,Starley,82,18,65,2017-04-22
Teenage Fever,Drake,83,4,35,2017-04-22
No Frauds,"Nicki Minaj, Drake & Lil Wayne",84,7,14,2017-04-22
The Heart Part 4,Kendrick Lamar,85,2,22,2017-04-22
Think A Little Less,Michael Ray,86,16,54,2017-04-22
Draco,Future,87,8,46,2017-04-22
First Day Out,Tee Grizzley,88,20,48,2017-04-22
Sacrifices,Drake Featuring 2 Chainz & Young Thug,89,3,36,2017-04-22
Scared To Be Lonely,Martin Garrix & Dua Lipa,90,14,76,2017-04-22
The One,The Chainsmokers,91,2,78,2017-04-22
How Far I'll Go,Alessia Cara,92,19,56,2017-04-22
Conscience,Kodak Black Featuring Future,93,1,93,2017-04-22
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,94,21,38,2017-04-22
Good Drank,2 Chainz x Gucci Mane x Quavo,95,16,70,2017-04-22
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",96,1,96,2017-04-22
Prblms,6LACK,97,8,72,2017-04-22
How Not To,Dan + Shay,98,14,57,2017-04-22
You're Welcome,Dwayne Johnson,99,13,65,2017-04-22
Human,Rag'n'Bone Man,100,7,74,2017-04-22
Shape Of You,Ed Sheeran,1,42,1,2017-04-15
That's What I Like,Bruno Mars,2,41,1,2017-04-15
Something Just Like This,The Chainsmokers & Coldplay,3,36,3,2017-04-15
I Feel It Coming,The Weeknd Featuring Daft Punk,4,26,4,2017-04-15
iSpy,KYLE Featuring Lil Yachty,5,30,4,2017-04-15
Bad And Boujee,Migos Featuring Lil Uzi Vert,6,36,1,2017-04-15
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,7,23,2,2017-04-15
Tunnel Vision,Kodak Black,8,20,6,2017-04-15
Paris,The Chainsmokers,9,20,6,2017-04-15
Passionfruit,Drake,10,20,8,2017-04-15
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,11,27,9,2017-04-15
Body Like A Back Road,Sam Hunt,12,39,6,2017-04-15
Chained To The Rhythm,Katy Perry Featuring Skip Marley,13,15,4,2017-04-15
Love On The Brain,Rihanna,14,31,5,2017-04-15
It Ain't Me,Kygo x Selena Gomez,15,29,10,2017-04-15
Bounce Back,Big Sean,16,28,6,2017-04-15
Stay,Zedd & Alessia Cara,17,31,7,2017-04-15
Mask Off,Future,18,31,5,2017-04-15
Say You Won't Let Go,James Arthur,19,52,11,2017-04-15
Closer,The Chainsmokers Featuring Halsey,20,52,1,2017-04-15
Portland,Drake Featuring Quavo & Travis Scott,21,16,9,2017-04-15
The Heart Part 4,Kendrick Lamar,22,2,22,2017-04-15
Issues,Julia Michaels,23,29,11,2017-04-15
Location,Khalid,24,42,16,2017-04-15
T-Shirt,Migos,25,25,19,2017-04-15
Mercy,Shawn Mendes,26,32,15,2017-04-15
Fake Love,Drake,27,25,8,2017-04-15
Congratulations,Post Malone Featuring Quavo,28,44,8,2017-04-15
24K Magic,Bruno Mars,29,41,4,2017-04-15
Cold,Maroon 5 Featuring Future,30,20,16,2017-04-15
Can't Stop The Feeling!,Justin Timberlake,31,52,1,2017-04-15
Scars To Your Beautiful,Alessia Cara,32,43,8,2017-04-15
Down,Marian Hill,33,17,21,2017-04-15
Swang,Rae Sremmurd,34,26,26,2017-04-15
Starboy,The Weeknd Featuring Daft Punk,35,30,1,2017-04-15
Rolex,Ayo & Teo,36,25,20,2017-04-15
Million Reasons,Lady Gaga,37,20,4,2017-04-15
Dirt On My Boots,Jon Pardi,38,20,37,2017-04-15
Bad Things,Machine Gun Kelly x Camila Cabello,39,23,4,2017-04-15
Free Smoke,Drake,40,4,18,2017-04-15
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,41,27,6,2017-04-15
Look At Me!,XXXTentacion,42,20,34,2017-04-15
Gyalchester,Drake,43,11,29,2017-04-15
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,44,41,1,2017-04-15
Slide,Calvin Harris Featuring Frank Ocean & Migos,45,20,25,2017-04-15
Water Under The Bridge,Adele,46,22,26,2017-04-15
Party,Chris Brown Featuring Usher & Gucci Mane,47,20,40,2017-04-15
Blem,Drake,48,4,38,2017-04-15
XO TOUR Llif3,Lil Uzi Vert,49,31,7,2017-04-15
Both,Gucci Mane Featuring Drake,50,22,41,2017-04-15
In Case You Didn't Know,Brett Young,51,28,19,2017-04-15
Believer,Imagine Dragons,52,38,4,2017-04-15
Teenage Fever,Drake,53,4,35,2017-04-15
Redbone,Childish Gambino,54,44,12,2017-04-15
Hurricane,Luke Combs,55,22,31,2017-04-15
Sacrifices,Drake Featuring 2 Chainz & Young Thug,56,3,36,2017-04-15
Heavy,Linkin Park Featuring Kiiara,57,19,45,2017-04-15
How Far I'll Go,Auli'i Cravalho,58,20,41,2017-04-15
Green Light,Lorde,59,9,19,2017-04-15
Fast,Luke Bryan,60,13,58,2017-04-15
Speak To A Girl,Tim McGraw & Faith Hill,61,2,61,2017-04-15
Any Ol' Barstool,Jason Aldean,62,18,52,2017-04-15
Castle On The Hill,Ed Sheeran,63,33,6,2017-04-15
Shining,DJ Khaled Featuring Beyonce & JAY Z,64,14,57,2017-04-15
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,65,20,29,2017-04-15
Still Got Time,Zayn Featuring PARTYNEXTDOOR,66,3,66,2017-04-15
Play That Song,Train,67,20,41,2017-04-15
Get It Together,Drake Featuring Jorja Smith & Black Coffee,68,2,45,2017-04-15
Road Less Traveled,Lauren Alaina,69,12,67,2017-04-15
Deja Vu,J. Cole,70,20,7,2017-04-15
Moves,Big Sean,71,19,38,2017-04-15
Hometown Girl,Josh Turner,72,16,56,2017-04-15
Selfish,Future Featuring Rihanna,73,10,37,2017-04-15
The Fighter,Keith Urban Featuring Carrie Underwood,74,23,38,2017-04-15
No Frauds,"Nicki Minaj, Drake & Lil Wayne",75,7,14,2017-04-15
No Long Talk,Drake Featuring Giggs,76,2,40,2017-04-15
Losin Control,Russ,77,19,62,2017-04-15
Think A Little Less,Michael Ray,78,16,54,2017-04-15
KMT,Drake Featuring Giggs,79,2,48,2017-04-15
Call On Me,Starley,80,18,65,2017-04-15
The Weekend,Brantley Gilbert,81,20,64,2017-04-15
4422,Drake Featuring Sampha,82,2,50,2017-04-15
Jorja Interlude,Drake,83,2,49,2017-04-15
Madiba Riddim,Drake,84,2,51,2017-04-15
Ice Melts,Drake Featuring Young Thug,85,2,62,2017-04-15
Do Not Disturb,Drake,86,2,60,2017-04-15
Black,Dierks Bentley,87,19,56,2017-04-15
Yeah Boy,Kelsea Ballerini,88,13,65,2017-04-15
Glow,Drake Featuring Kanye West,89,2,54,2017-04-15
Draco,Future,90,8,46,2017-04-15
How Far I'll Go,Alessia Cara,91,19,56,2017-04-15
Scared To Be Lonely,Martin Garrix & Dua Lipa,92,14,76,2017-04-15
Galway Girl,Ed Sheeran,93,5,53,2017-04-15
Everyday,Ariana Grande Featuring Future,94,7,55,2017-04-15
Good Drank,2 Chainz x Gucci Mane x Quavo,95,16,70,2017-04-15
Prblms,6LACK,96,8,72,2017-04-15
Can't Have Everything,Drake,97,2,82,2017-04-15
Party Monster,The Weeknd,98,19,16,2017-04-15
Nothings Into Somethings,Drake,99,2,61,2017-04-15
You're Welcome,Dwayne Johnson,100,13,65,2017-04-15
Shape Of You,Ed Sheeran,1,42,1,2017-04-08
That's What I Like,Bruno Mars,2,41,1,2017-04-08
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,3,23,2,2017-04-08
Bad And Boujee,Migos Featuring Lil Uzi Vert,4,36,1,2017-04-08
I Feel It Coming,The Weeknd Featuring Daft Punk,5,26,4,2017-04-08
Tunnel Vision,Kodak Black,6,20,6,2017-04-08
Something Just Like This,The Chainsmokers & Coldplay,7,36,3,2017-04-08
Passionfruit,Drake,8,20,8,2017-04-08
Portland,Drake Featuring Quavo & Travis Scott,9,16,9,2017-04-08
Paris,The Chainsmokers,10,20,6,2017-04-08
Love On The Brain,Rihanna,11,31,5,2017-04-08
iSpy,KYLE Featuring Lil Yachty,12,30,4,2017-04-08
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,13,27,9,2017-04-08
Bounce Back,Big Sean,14,28,6,2017-04-08
Fake Love,Drake,15,25,8,2017-04-08
Body Like A Back Road,Sam Hunt,16,39,6,2017-04-08
Closer,The Chainsmokers Featuring Halsey,17,52,1,2017-04-08
Free Smoke,Drake,18,4,18,2017-04-08
Chained To The Rhythm,Katy Perry Featuring Skip Marley,19,15,4,2017-04-08
It Ain't Me,Kygo x Selena Gomez,20,29,10,2017-04-08
Stay,Zedd & Alessia Cara,21,31,7,2017-04-08
Say You Won't Let Go,James Arthur,22,52,11,2017-04-08
Mercy,Shawn Mendes,23,32,15,2017-04-08
Mask Off,Future,24,31,5,2017-04-08
T-Shirt,Migos,25,25,19,2017-04-08
Issues,Julia Michaels,26,29,11,2017-04-08
24K Magic,Bruno Mars,27,41,4,2017-04-08
Down,Marian Hill,28,17,21,2017-04-08
Gyalchester,Drake,29,11,29,2017-04-08
Congratulations,Post Malone Featuring Quavo,30,44,8,2017-04-08
Cold,Maroon 5 Featuring Future,31,20,16,2017-04-08
Location,Khalid,32,42,16,2017-04-08
Can't Stop The Feeling!,Justin Timberlake,33,52,1,2017-04-08
Scars To Your Beautiful,Alessia Cara,34,43,8,2017-04-08
Teenage Fever,Drake,35,4,35,2017-04-08
Sacrifices,Drake Featuring 2 Chainz & Young Thug,36,3,36,2017-04-08
Starboy,The Weeknd Featuring Daft Punk,37,30,1,2017-04-08
Blem,Drake,38,4,38,2017-04-08
Bad Things,Machine Gun Kelly x Camila Cabello,39,23,4,2017-04-08
No Long Talk,Drake Featuring Giggs,40,2,40,2017-04-08
Swang,Rae Sremmurd,41,26,26,2017-04-08
Rolex,Ayo & Teo,42,25,20,2017-04-08
Dirt On My Boots,Jon Pardi,43,20,37,2017-04-08
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,44,27,6,2017-04-08
Get It Together,Drake Featuring Jorja Smith & Black Coffee,45,2,45,2017-04-08
Million Reasons,Lady Gaga,46,20,4,2017-04-08
Let Me Love You,DJ Snake Featuring Justin Bieber,47,33,4,2017-04-08
KMT,Drake Featuring Giggs,48,2,48,2017-04-08
Jorja Interlude,Drake,49,2,49,2017-04-08
4422,Drake Featuring Sampha,50,2,50,2017-04-08
Madiba Riddim,Drake,51,2,51,2017-04-08
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,52,41,1,2017-04-08
Water Under The Bridge,Adele,53,22,26,2017-04-08
Glow,Drake Featuring Kanye West,54,2,54,2017-04-08
Slide,Calvin Harris Featuring Frank Ocean & Migos,55,20,25,2017-04-08
Party,Chris Brown Featuring Usher & Gucci Mane,56,20,40,2017-04-08
Believer,Imagine Dragons,57,38,4,2017-04-08
Both,Gucci Mane Featuring Drake,58,22,41,2017-04-08
Goosebumps,Travis Scott,59,34,32,2017-04-08
Do Not Disturb,Drake,60,2,60,2017-04-08
Nothings Into Somethings,Drake,61,2,61,2017-04-08
Ice Melts,Drake Featuring Young Thug,62,2,62,2017-04-08
How Far I'll Go,Auli'i Cravalho,63,20,41,2017-04-08
Lose You,Drake,64,1,64,2017-04-08
Green Light,Lorde,65,9,19,2017-04-08
Look At Me!,XXXTentacion,66,20,34,2017-04-08
In Case You Didn't Know,Brett Young,67,28,19,2017-04-08
Hurricane,Luke Combs,68,22,31,2017-04-08
Fast,Luke Bryan,69,13,58,2017-04-08
Since Way Back,Drake Featuring PARTYNEXTDOOR,70,1,70,2017-04-08
Redbone,Childish Gambino,71,44,12,2017-04-08
Castle On The Hill,Ed Sheeran,72,33,6,2017-04-08
Make Me (Cry),Noah Cyrus Featuring Labrinth,73,15,46,2017-04-08
Any Ol' Barstool,Jason Aldean,74,18,52,2017-04-08
Everyday,Ariana Grande Featuring Future,75,7,55,2017-04-08
Skepta Interlude,Drake,76,1,76,2017-04-08
Play That Song,Train,77,20,41,2017-04-08
The Fighter,Keith Urban Featuring Carrie Underwood,78,23,38,2017-04-08
Heavy,Linkin Park Featuring Kiiara,79,19,45,2017-04-08
Deja Vu,J. Cole,80,20,7,2017-04-08
Think A Little Less,Michael Ray,81,16,54,2017-04-08
Can't Have Everything,Drake,82,2,82,2017-04-08
Moves,Big Sean,83,19,38,2017-04-08
No Frauds,"Nicki Minaj, Drake & Lil Wayne",84,7,14,2017-04-08
Selfish,Future Featuring Rihanna,85,10,37,2017-04-08
Shining,DJ Khaled Featuring Beyonce & JAY Z,86,14,57,2017-04-08
Road Less Traveled,Lauren Alaina,87,12,67,2017-04-08
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,88,8,60,2017-04-08
Galway Girl,Ed Sheeran,89,5,53,2017-04-08
Call On Me,Starley,90,18,65,2017-04-08
Losin Control,Russ,91,19,62,2017-04-08
Hometown Girl,Josh Turner,92,16,56,2017-04-08
The Weekend,Brantley Gilbert,93,20,64,2017-04-08
Perfect,Ed Sheeran,94,9,10,2017-04-08
Draco,Future,95,8,46,2017-04-08
Kill A Word,Eric Church Featuring Rhiannon Giddens,96,15,71,2017-04-08
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,97,1,97,2017-04-08
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,98,20,29,2017-04-08
Party Monster,The Weeknd,99,19,16,2017-04-08
How Far I'll Go,Alessia Cara,100,19,56,2017-04-08
Shape Of You,Ed Sheeran,1,42,1,2017-04-01
That's What I Like,Bruno Mars,2,41,1,2017-04-01
Bad And Boujee,Migos Featuring Lil Uzi Vert,3,36,1,2017-04-01
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,4,23,2,2017-04-01
I Feel It Coming,The Weeknd Featuring Daft Punk,5,26,4,2017-04-01
Tunnel Vision,Kodak Black,6,20,6,2017-04-01
Love On The Brain,Rihanna,7,31,5,2017-04-01
Something Just Like This,The Chainsmokers & Coldplay,8,36,3,2017-04-01
Paris,The Chainsmokers,9,20,6,2017-04-01
iSpy,KYLE Featuring Lil Yachty,10,30,4,2017-04-01
Bounce Back,Big Sean,11,28,6,2017-04-01
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,12,27,9,2017-04-01
Closer,The Chainsmokers Featuring Halsey,13,52,1,2017-04-01
No Frauds,"Nicki Minaj, Drake & Lil Wayne",14,7,14,2017-04-01
Chained To The Rhythm,Katy Perry Featuring Skip Marley,15,15,4,2017-04-01
Cold,Maroon 5 Featuring Future,16,20,16,2017-04-01
It Ain't Me,Kygo x Selena Gomez,17,29,10,2017-04-01
Body Like A Back Road,Sam Hunt,18,39,6,2017-04-01
Mask Off,Future,19,31,5,2017-04-01
Mercy,Shawn Mendes,20,32,15,2017-04-01
Say You Won't Let Go,James Arthur,21,52,11,2017-04-01
24K Magic,Bruno Mars,22,41,4,2017-04-01
Down,Marian Hill,23,17,21,2017-04-01
Issues,Julia Michaels,24,29,11,2017-04-01
Scars To Your Beautiful,Alessia Cara,25,43,8,2017-04-01
T-Shirt,Migos,26,25,19,2017-04-01
Stay,Zedd & Alessia Cara,27,31,7,2017-04-01
Can't Stop The Feeling!,Justin Timberlake,28,52,1,2017-04-01
Bad Things,Machine Gun Kelly x Camila Cabello,29,23,4,2017-04-01
