SongTitle,Title,PeakPos
Shake It Off,Taylor Swift,1
Do It Like You,Diggy Featuring Jeremih,80
I'm Comin' Over,Chris Young,33
Offended,Meek Mill Featuring Young Thug & 21 Savage,70
We'll Be Fine,Drake Featuring Birdman,89
If Only,Dove Cameron,94
Eyes Wide Open,Gotye,96
Love Galore,SZA Featuring Travis Scott,32
Somebody To Love,Jordan Smith,62
"Honey, I'm Good.",Andy Grammer,9
"It's A Man's, Man's, Man's World",Juliet Simms,70
Popular Song,MIKA Featuring Ariana Grande,87
Everything I Didn't Say,5 Seconds Of Summer,24
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",12
Wicked,Future,41
Breakthrough,"Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko",88
Nothings Into Somethings,Drake,61
Tear In My Heart,twenty one pilots,82
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1
Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,3
I Don't Mind,Usher Featuring Juicy J,11
Hard Times,Paramore,90
Next To Me,Emeli Sande,25
Right There,Nicole Scherzinger Featuring 50 Cent,84
I Found You,The Wanted,89
Fancy,Iggy Azalea Featuring Charli XCX,25
I Feel Pretty / Unpretty,Glee Cast,22
Call Casting,Migos,62
17 Again,Brantley Gilbert,90
We Run The Night,Havana Brown Featuring Pitbull,26
Oceans (Where Feet May Fail),Hillsong UNITED,83
Almost Is Never Enough,Ariana Grande & Nathan Sykes,82
Day Drinking,Little Big Town,40
Panda,Desiigner,1
Hail To The King,Avenged Sevenfold,83
Get It Right,Glee Cast,16
Judas,Lady Gaga,10
Honey Bee,Blake Shelton,13
Not Afraid,Eminem,1
She Will,Lil Wayne Featuring Drake,3
Furthest Thing,Drake,56
Donald Trump,Mac Miller,75
Holy Grail,Jay Z Featuring Justin Timberlake,4
Beating Heart,Ellie Goulding,88
All Me,Drake Featuring 2 Chainz & Big Sean,20
TKO,Justin Timberlake,36
Best Song Ever,One Direction,2
Take A Back Road,Rodney Atkins,23
Sorry,Justin Bieber,97
Real Life,The Weeknd,74
Speak To A Girl,Tim McGraw & Faith Hill,61
See You Tonight,Scotty McCreery,52
Hello,Adele,62
A.M.,One Direction,94
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,97
A-YO,Lady Gaga,66
Little Red Corvette,Prince,6
Accidental Racist,Brad Paisley Featuring LL Cool J,77
Am I The Only One,Dierks Bentley,39
Stay Stay Stay,Taylor Swift,91
I Don't Dance,Lee Brice,33
50 Ways To Say Goodbye,Train,20
We Might Be Dead By Tomorrow,Soko,9
Send My Love (To Your New Lover),Adele,8
I Want Crazy,Hunter Hayes,19
All Night,Beyonce,38
Banjo,Rascal Flatts,51
Jump Right In,Zac Brown Band,53
Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj,68
The One,The Chainsmokers,78
Blackstar,David Bowie,78
Slow Me Down,Sara Evans,89
Beautiful,Carly Rae Jepsen Featuring Justin Bieber,87
This Summer's Gonna Hurt...,Maroon 5,23
Woman,Kesha Featuring The Dap-Kings Horns,96
You Gonna Fly,Keith Urban,54
Glad You Came,The Wanted,90
I Need Your Love,Calvin Harris Featuring Ellie Goulding,66
The Hills,The Weeknd,1
Run The World (Girls),Beyonce,91
B**** Better Have My Money,Rihanna,15
Straight Outta Compton,N.W.A,38
Love Me Again,John Newman,30
I Won't Back Down,Blake Shelton & Dia Frampton,57
A Lie,French Montana Featuring The Weeknd & Max B,75
Portland,Drake Featuring Quavo & Travis Scott,9
All I Know,The Weeknd Featuring Future,46
We Don't Get Down Like Y'all,T.I. Featuring B.o.B.,78
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,86
#SELFIE,The Chainsmokers,16
Red Solo Cup,Toby Keith,92
Atlas,Coldplay,69
I Will Always Love You,Whitney Houston,87
Gentleman,PSY,5
Love Is Your Name,Steven Tyler,75
"Save Me, San Francisco",Train,75
You Was Right,Lil Uzi Vert,40
Good Old Days,Macklemore Featuring Kesha,70
Ghost Town,Adam Lambert,64
"Two Birds, One Stone",Drake,73
Secrets,The Weeknd,66
Cheyenne,Jason Derulo,66
Team,Lorde,42
Dirt,Florida Georgia Line,11
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10
Energy,Drake,26
Believe Me,Lil Wayne Featuring Drake,26
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2
Ivy,Frank Ocean,80
Young Dumb & Broke,Khalid,25
Chasing The Sun,Hilary Duff,79
Colder Weather,Zac Brown Band,29
Faster,Matt Nathanson,74
Get Low,Zedd & Liam Payne,91
Rock Me,One Direction,98
Payphone,Maroon 5 Featuring Wiz Khalifa,2
Dive In,Trey Songz,77
The Story Of Us,Taylor Swift,41
When A Woman Loves,R. Kelly,93
Make Me Like You,Gwen Stefani,54
Don't,Ed Sheeran,13
Still Got It,Tyga Featuring Drake,89
Somebody's Heartbreak,Hunter Hayes,54
Ain't No Stopping Us Now,Kane Brown,88
Immortal,J. Cole,11
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,60
Earned It (Fifty Shades Of Grey),The Weeknd,3
The Outsiders,Eric Church,51
Stupid Hoe,Nicki Minaj,59
Controlla,Drake,16
At Last,Will Champlin,89
Backseat,New Boyz Featuring The Cataracs & Dev,26
Drag Me Down,One Direction,3
We Ball,Meek Mill Featuring Young Thug,96
Nothin' Like You,Dan + Shay,51
Cool For The Summer,Demi Lovato,11
Girls Just Want To Have Fun,Madi Davis,98
Hold It Against Me,Britney Spears,1
Better Than I Used To Be,Tim McGraw,52
Blow Your Mind (Mwah),Dua Lipa,72
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,25
Firework,Katy Perry,34
Tongue Tied,Grouplove,42
It's You,Zayn,59
She's Mine Pt. 2,J. Cole,34
Wagon Wheel,Darius Rucker,15
Who Gon Stop Me,Jay Z Kanye West,44
No Hurry,Zac Brown Band,50
Side To Side,Ariana Grande Featuring Nicki Minaj,4
V.S.O.P.,K. Michelle,89
Night Of Your Life,David Guetta Featuring Jennifer Hudson,81
Down,Marian Hill,42
Good Life,G-Eazy & Kehlani,59
Isn't She Lovely,Glee Cast,65
Swimming Pools (Drank),Kendrick Lamar,17
Young & Gettin' It,Meek Mill Featuring Kirko Bangz,86
Family Man,Craig Campbell,84
Everybody Dies In Their Nightmares,XXXTentacion,54
Up Down (Do This All Day),T-Pain Featuring B.o.B,62
Flatliner,Cole Swindell,56
Shaky Shaky,Daddy Yankee,88
Setting The World On Fire,Kenny Chesney Featuring P!nk,29
No Sleep,Wiz Khalifa,6
Shadow Days,John Mayer,42
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,85
Do What U Want,Lady Gaga Featuring R. Kelly,13
I Won't Let You Down,OK Go,71
How We Do (Party),Rita Ora,62
Keep Your Money,Empire Cast Featuring Jussie Smollett,99
Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,78
Amen,Edens Edge,83
Wobble,V.I.C.,94
In Your Arms,Nico & Vinz,72
Sing,Ed Sheeran,58
Best Love Song,T-Pain Featuring Chris Brown,33
The Story,Sara Ramirez,69
You Lie,The Band Perry,42
Crooked Smile,J. Cole Featuring TLC,27
Thriller / Heads Will Roll,Glee Cast,38
Magic,Future Featuring T.I.,69
One Way Or Another (Teenage Kicks),One Direction,13
Rise,Katy Perry,11
Lost In Paradise,Evanescence,99
Happy Days Are Here Again / Get Happy,Glee Cast,48
Wasted Love,Matt McAndrew,14
Novacane,Frank Ocean,82
Right Hand,Drake,58
The Scientist,Glee Cast,91
Feel Again,OneRepublic,36
False Prophets,J. Cole,54
Ain't Your Mama,Jennifer Lopez,76
Maybe,Sick Puppies,56
Lonesome Broken And Blue,Adam Wakefield,73
Fat Bottomed Girls,Glee Cast,56
Fade Into You,Sam Palladio & Clare Bowen,92
Run,Matt Nathanson Featuring Sugarland,53
9 Piece,Rick Ross Featuring Lil Wayne Or T.I.,61
OMG,Camila Cabello Featuring Quavo,81
Human,Christina Perri,74
We Were Us,Keith Urban And Miranda Lambert,26
It's Not Unusual,Glee Cast,65
A Man Who Was Gonna Die Young,Eric Church,89
Fix A Heart,Demi Lovato,69
Make Me...,Britney Spears Featuring G-Eazy,17
Got My Country On,Chris Cagle,86
Rather Be,Clean Bandit Featuring Jess Glynne,10
Felices Los 4,Maluma,48
Shake,Jesse McCartney,54
The Fighter,Keith Urban Featuring Carrie Underwood,38
Just Give Me A Reason,P!nk Featuring Nate Ruess,1
Family Feud,JAY-Z Featuring Beyonce,51
Wherever I Go,OneRepublic,55
Smooth,Florida Georgia Line,91
Song For Another Time,Old Dominion,59
Fly,Maddie & Tae,61
Let's Go,Calvin Harris Featuring Ne-Yo,17
House Party,Sam Hunt,26
Over,Blake Shelton,43
1+1,Beyonce,57
Tuscan Leather,Drake,81
Love Me,Lil Wayne Featuring Drake & Future,100
Levels,Nick Jonas,60
Hello,Karmin,62
Something New,Zendaya Featuring Chris Brown,93
Boyfriend,Justin Bieber,96
Legend,Drake,52
No Longer Friends,Bryson Tiller,98
I Have Nothing,Tessanne Chin,51
Crew Love,Drake Featuring The Weeknd,80
Dancin' Away With My Heart,Lady Antebellum,46
Slumber Party,Britney Spears Featuring Tinashe,86
Sippin' On Fire,Florida Georgia Line,40
5-1-5-0,Dierks Bentley,33
Big Rings,Drake & Future,52
Grove St. Party,Waka Flocka Flame Featuring Kebo Gotti,74
Feelin' Myself,"will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard",96
Still Into You,Paramore,24
Fade,Kanye West,47
Hallelujah,Leonard Cohen,81
L$D,A$AP Rocky,62
She's So Mean,matchbox twenty,40
I Got Nothin',Darius Rucker,84
Live It Up,Jennifer Lopez Featuring Pitbull,60
Sweeter Than Fiction,Taylor Swift,34
If I Told You,Darius Rucker,53
Fight Song,Rachel Platten,6
Tunnel Vision,Kodak Black,6
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3
Love So Soft,Kelly Clarkson,57
Buy Me A Boat,Chris Janson,41
Deja Vu,Post Malone Featuring Justin Bieber,75
Just What I Am,Kid Cudi Featuring King Chip,74
Somewhere Over The Rainbow,Nicholas David,96
Take Back The Night,Justin Timberlake,29
My Moment,"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",89
Time After Time,Javier Colon,65
444+222,Lil Uzi Vert,60
Heartbeat Song,Kelly Clarkson,21
Break On Me.,Keith Urban,54
Safe And Sound,Capital Cities,8
Red,Taylor Swift,6
Seven Nation Army,Melanie Martinez,86
Look It Up,Ashton Shepherd,95
Younger Now,Miley Cyrus,79
Honest,The Chainsmokers,77
If I Could Fly,One Direction,83
People Like Us,Kelly Clarkson,65
Dessert,Dawin,68
Follow Your Arrow,Kacey Musgraves,60
Fix You,Javier Colon,53
Nothing Like Us,Justin Bieber,59
Beautiful People,Chris Brown Featuring Benny Benassi,43
Do Not Disturb,Drake,60
Alive,Sia,56
Writing's On The Wall,Sam Smith,71
Hangover,PSY Featuring Snoop Dogg,62
One,Ed Sheeran,98
Bodak Yellow (Money Moves),Cardi B,1
Rockstar,Post Malone Featuring 21 Savage,1
I'm Better,Missy Elliott Featuring Lamb,71
Cake,Flo Rida & 99 Percent,73
Could It Be,Charlie Worsham,94
Friday Night,Eric Paslay,47
Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,18
Home,One Direction,76
Pour It Up,Rihanna,19
Change My Mind,Meghan Linsey,92
Noise,Kenny Chesney,72
Self-Made,Bryson Tiller,85
Losin Control,Russ,62
Sorry For Party Rocking,LMFAO,49
Still Got Time,Zayn Featuring PARTYNEXTDOOR,66
I Could Use A Love Song,Maren Morris,83
My Girl,Dylan Scott,39
Ballin',Young Jeezy Featuring Lil Wayne,57
Failure,Breaking Benjamin,80
Love The Way You Lie,Eminem Featuring Rihanna,1
Gonorrhea,Lil Wayne Featuring Drake,17
Law,Yo Gotti Featuring E-40,79
Bait A Hook,Justin Moore,63
Long Live A$AP,A$AP Rocky,86
Night Train,Jason Aldean,26
My Baby's Guns N' Roses,Brantley Gilbert,87
Yeah 3X,Chris Brown,15
Fresh Eyes,Andy Grammer,59
Blem,Drake,38
Victorious,Panic! At The Disco,89
Gas Pedal,Sage The Gemini Featuring IamSu!,29
The Heart Wants What It Wants,Selena Gomez,6
"Baby, It's Cold Outside",Glee Cast,57
Come Get It Bae,Pharrell Williams,23
Drunk On A Plane,Dierks Bentley,27
Ghost In This House,Lauren Duski,98
Real Hitta,Plies Featuring Kodak Black,100
Light It Up,Major Lazer Featuring Nyla & Fuse ODG,73
Waves,Mr. Probz,71
Preach,Drake Featuring PARTYNEXTDOOR,82
Every Time I Hear That Song,Blake Shelton,56
Turn To You (Mother's Day Dedication),Justin Bieber,60
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1
I'm Different,2 Chainz,27
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,8
4 AM,Melanie Fiona,81
Sleeping With A Friend,Neon Trees,51
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",29
She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank,96
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",95
Mr. Misunderstood,Eric Church,84
Out Of My Head,Lupe Fiasco Featuring Trey Songz,40
Shut Up And Dance,WALK THE MOON,4
Right Above It,Lil Wayne Featuring Drake,6
That Don't Sound Like You,Lee Brice,64
